Title,Review
Super!,Samsung is my all time favorite brand and I never used any other brand. This phone is amazing  in every terms ! Flipkart is always giving their best when it comes to product quality and delivery time. Happy and satisfied customer of Samsung and Flipkart ! :)READ MORE
Wonderful,"Just Wowww !! Very Good mobile ,superb battery back up,osm cameras , great processor......Just love it....Thank you so much Flipkart for fast delivery !!READ MORE"
Worth every penny,"Worth price.  It was a birthday gift to my Honey, she loved it.  Awesome mobile.  Really nice good performanceREAD MORE"
Simply awesome,Samsung  m31 nice product looking owsam self camera back good ??READ MORE
Good choice,Nice product ????READ MORE
Really Nice,Good phoneREAD MORE
Fabulous!,Good phoneREAD MORE
Best in the market!,Amazing product ?? I'm very satisfiedREAD MORE
Brilliant,Perfect mobile??READ MORE
Terrific,Very Good Camera Quality I am impressedREAD MORE
Very Good,Good battery back up with high resolution screen.READ MORE
Really Nice,Big battery and big display. Fast charging. Short Data cable only 80 cm long and no headphones no screen guard no back cover. Slightly costly.READ MORE
Fabulous!,Awesome phone in this price range..??READ MORE
Perfect product!,Awsome touch..good for people looking for larger  battery backup...though charging take 2:30-3:00hours..READ MORE
Perfect product!,Very good ??READ MORE
Just wow!,Awesome product and delivered on right timeREAD MORE
Terrific,Best phoneREAD MORE
Fabulous!,Price  is  high  but  phone  is good. Excellent Camera  and  battery  life  is   good.  Overall  it is  good. Thank  you  flipkart.READ MORE
Highly recommended,Best mobile and big battery.. everREAD MORE
Terrific purchase,"After using it a week I am satisfied  with this product .According  to my point of view ,#Best camera quality #Better battery backup upto two days of usage #nice gameplay and better amoled display  #And at last I say that it is value for money productREAD MORE"
Awesome,Love the mobile Best value for money ??READ MORE
Classy product,WonderfulREAD MORE
Best in the market!,Excellent product with fastest delivery .READ MORE
Must buy!,Excellent battery... Overall design good... Little bit weighty due to 6000mAh... perfect for who need extra batteryREAD MORE
Mind-blowing purchase,thanks for dilivarying fast this Mobil is very niceREAD MORE
Worth every penny,Really goodREAD MORE
Simply awesome,GoodREAD MORE
Best in the market!,Awesome  product n Amazing performance n awesome camera clearty??????READ MORE
Nice product,Value for moneyREAD MORE
Highly recommended,GoodREAD MORE
Great product,Best mobile in this rangeREAD MORE
Super!,NiceREAD MORE
Super!,Very goodREAD MORE
Awesome,Very niceREAD MORE
Really Nice,"Average quality, high price.READ MORE"
Very Good,"Overall Gud impression,  but front camera less qualityREAD MORE"
Mind-blowing purchase,Good phone ...READ MORE
Worth every penny,I just love this product.READ MORE
Just wow!,NiceREAD MORE
Connectivity issue / slow processor,"Disappointed processor is very slow , failed to meet the expectations.READ MORE"
Wonderful,Very good phone.... But screen should be more wideREAD MORE
Awesome,Superb MobileBest designCamera To B FineHigh Speed RamService Very FineDelivery Very FastOver All Best Experience After 10 Days Used.READ MORE
Highly recommended,"Satisfactory, also the pic quality is good bt it takes more storage like 5mb something for a pic. Overall it's greatREAD MORE"
Best in the market!,Super phone.I like this phone very muchREAD MORE
Does the job,Connectivity poorREAD MORE
Delightful,But costlyREAD MORE
Best in the market!,very good productREAD MORE
Great product,Awesome...working property.....awesome product of SamsungREAD MORE
Could be way better,Connectivity problemREAD MORE
Just wow!,Awesome display good performance I really love that And thanks you so much FLIPKARTREAD MORE
Terrific purchase,Very Nice ..... Camera Ram nd Battery are extremely good ... but I think price would  u Flipkart ....READ MORE
Delightful,NiceREAD MORE
Brilliant,Price highREAD MORE
Wonderful,Very goodREAD MORE
Must buy!,Very nice.  Must buy I order second one same mobileREAD MORE
Brilliant,Excellent product with reasonable price.READ MORE
Terrific,Super and Excellent product by FlipkartREAD MORE
Worth every penny,FantasticREAD MORE
Did not meet expectations,Samsung i hate you and service Flipkart during lockdown is very poorREAD MORE
Classy product,NiceREAD MORE
Perfect product!,Good product.. ??READ MORE
Perfect product!,NiceREAD MORE
Classy product,Good quality but back cover not  found attachREAD MORE
Utterly Disappointed,This phone is hanging within 20 days after buying..... Waste of moneyREAD MORE
Wonderful,Nice phoneREAD MORE
Brilliant,Nice phoneREAD MORE
Great product,Superb mobileREAD MORE
Terrific purchase,Just asmmmmmmmREAD MORE
Perfect product!,Very goodREAD MORE
Wonderful,Product is goodREAD MORE
Good quality product,GoodREAD MORE
Wonderful,SuperREAD MORE
Perfect product!,Good one but pricing highREAD MORE
Awesome,SuperREAD MORE
Simply awesome,I m so happyREAD MORE
Wonderful,It's take to long time for charging....!Battery life is good...!Camera quality is not that much good...!No new changes in display.. it look like you still using old Samsung mobile..!READ MORE
Terrific purchase,Nice phoneREAD MORE
Worth every penny,Really outstanding!READ MORE
Highly recommended,Very niceREAD MORE
Perfect product!,GoodREAD MORE
Fabulous!,GoodREAD MORE
Just wow!,GOODREAD MORE
Best in the market!,GoodREAD MORE
Value-for-money,Good productREAD MORE
Brilliant,Nice phoneREAD MORE
Wonderful,goodREAD MORE
Mind-blowing purchase,very nicesuper picREAD MORE
Perfect product!,Nice productsREAD MORE
Slightly disappointed,So badREAD MORE
Horrible,Very very very very bad FlipkartREAD MORE
Simply awesome,Very very nice product i love it???? thank you very much Flipkart ??READ MORE
Good quality product,niceREAD MORE
Highly recommended,GoodREAD MORE
Classy product,very goodREAD MORE
Brilliant,Nice deliver  superREAD MORE
Not good,Handset is getting too heatREAD MORE
Super!,The phone is really greatREAD MORE
Bad quality,Very bad performance.dont buy itREAD MORE
Did not meet expectations,Very very bad charger is missing in boxREAD MORE
Did not meet expectations,Very bad productREAD MORE
Wonderful,"Best purchase, thank you flpcrtREAD MORE"
Terrific purchase,Perfect for this price.READ MORE
Great product,Excellent phone under low budgetREAD MORE
Worth the money,Very good mobile phoneREAD MORE
Wonderful,Wow Samsung the Great amazing productREAD MORE
Utterly Disappointed,Not met the expectation. Pathetic camera and performance. Battery is draining fast.READ MORE
Wonderful,NYC productREAD MORE
Very Good,Very goodREAD MORE
Great product,Best mobile phones in 20000 range. Good quality. Thanks flipkart.READ MORE
Really Nice,Awsm phone ??But kindly improve the software.....sometimes touch stop working for 10minREAD MORE
Worth every penny,goodREAD MORE
Highly recommended,OsmREAD MORE
Must buy!,SuperREAD MORE
Perfect product!,Very nice product??READ MORE
Delightful,Good performance. One less star because its very hard to  lock down its usage to prevent sharing private info. There is Facebook app which I can't uninstall.READ MORE
Simply awesome,Very goodREAD MORE
Waste of money!,It is too hot when set is runningREAD MORE
Good quality product,Too goodREAD MORE
Awesome,Best workREAD MORE
Good quality product,Good performanceREAD MORE
Super!,"Very good product,,,, Awesome,,, love itREAD MORE"
Best in the market!,Best phoneREAD MORE
Just wow!,"Awesome mind blowing camera and battery back up super, performance good.READ MORE"
Decent product,goodREAD MORE
Perfect product!,NiceREAD MORE
Not good,Bad product .....and bad service flipkartREAD MORE
Moderate,Hang problem...As expected...When I use whatsapp chatting more than 15 min ... Phone is automatically stopped...Then after 3-5 minutes it will be functioning...READ MORE
Terrific,It’s awesomeREAD MORE
Good choice,All good but phone heat problem.READ MORE
Best in the market!,Looking gudREAD MORE
Best in the market!,Its amazing .front camera good.i have gifted the mobile to my husband.when i am talking with video call front camera is so good and picture is so clear.i am waiting when i will see the mobile.i am very happy.everyone without any doubt just go for it.????READ MORE
Just okay,Worth for the money... it’s good to useREAD MORE
Really Nice,Good phoneREAD MORE
Wonderful,Good service and delivery boy is nice & helpfulREAD MORE
Delightful,Good but camera quality is not so asREAD MORE
Simply awesome,Superb...READ MORE
Really Nice,Good productREAD MORE
Must buy!,Good qualityREAD MORE
Terrible product,Phone is heating with very slow charging. the speed is also very slow. kindly refund my amount as soon as possible.READ MORE
Super!,It's amazimg phoneREAD MORE
Perfect product!,amazing Mobile....READ MORE
Highly recommended,NiceREAD MORE
Hated it!,Price is  too High comparison all other options. Somewhat disappointed.READ MORE
Not recommended at all,I purches m31 mobile.it's not properly working.camera not opend.2nd sim slat signal not showing.i returned this mobile.but not coming an agent receved.FINALLY WORST SERVICEREAD MORE
Terrific,GoodREAD MORE
Fair,7 day uss my phone folder is not warking 3 day hold my phon samsung sarvice after uss may phon is avrege wark not fast warkingREAD MORE
Terrific purchase,Best qualityREAD MORE
Expected a better product,Velue is highREAD MORE
Best in the market!,Awesome mobileREAD MORE
Hated it!,Battery backup is very bad and sceen touch  not good workingREAD MORE
Highly recommended,GoodREAD MORE
Brilliant,Very nice product. I am very satisfied. Loved this productREAD MORE
Super!,Nice product....READ MORE
Best in the market!,AwesomeREAD MORE
Good,A1 Bhai Bhot Hard...A1 camera blur Dslr Auto Focus.??????????Love samsungREAD MORE
Worthless,Battery heatingREAD MORE
Super!,Best mobile phoneREAD MORE
Worst experience ever!,Bad packing... Very disappointed... The packing looks like a returned product... MRP is scratched it starts in 17. The product has so many scratches on backside and looks like used product... Very very disappointingREAD MORE
Great product,Nice product SamsungREAD MORE
Just wow!,BestREAD MORE
Does the job,Very extremely extremely worse than other mobile how could such a company launch this product it unbelievableREAD MORE
Terrific,Super phone no negative pointREAD MORE
Hated it!,betray not chargingREAD MORE
Waste of money!,It's device network automatically and disappear and net closed so its my last order to flipcart because take money more but device work not WorkREAD MORE
Classy product,It's just amazing.  ??READ MORE
Super!,Good phoneREAD MORE
Wonderful,Very nice producedREAD MORE
Mind-blowing purchase,Very nice foneREAD MORE
Must buy!,Performance  is goodREAD MORE
Wonderful,Nice productREAD MORE
Good quality product,Great phone a little heavy in hand but good . One hand usage is difficult if u have small / medium fingers . You need long fingers to use by single hand . Battery charging takes time but it equally slow . Moderate usage u can use the mobile for 2 days . The back surface is a finger print magnet . I wouldnt advice to use this phone without cover . I m using this phone for office work so not much of gaming so cant comment on that .READ MORE
Fabulous!,Value for money??Very nice??READ MORE
Brilliant,Good PhoneREAD MORE
Just wow!,It is very nice productREAD MORE
Must buy!,Super mobile battery power is amezing thank you flip kartREAD MORE
Wonderful,excellentREAD MORE
Pretty good,GoodREAD MORE
Terrific purchase,ExcellentREAD MORE
Not recommended at all,I bought new Samsung m31 for Flipkart..first time I plug to charge.. up normally overheat mobile.they are not return to my mobile.flipkart says return date finishREAD MORE
Terrific,Amazing phone.. Camera. Display. Processor. Are good..READ MORE
Simply awesome,Very good productREAD MORE
Wonderful,Nice camera.... Happy ??READ MORE
Good quality product,Good phone in terms of quality and value for money. Camera is good.READ MORE
Nice product,FineREAD MORE
Great product,Nyc phoneREAD MORE
Worth every penny,Worth buyingREAD MORE
Really Nice,Compare to this Samsung M31 MI is much better.READ MORE
Wonderful,This phone is awsome.the display and camera is fantasticREAD MORE
Classy product,Mobile is performance is good camera is good display was awesome smooth workingREAD MORE
Highly recommended,Nice mobile and thank for the aal staff  and stay safe ??READ MORE
Fabulous!,Very nice ??????READ MORE
Highly recommended,NYC phone highly satisfiedREAD MORE
Must buy!,Hlo guys... This phone give nice bettery backup and camera good quality .. thank you Flipkart team..READ MORE
Highly recommended,Super i love itREAD MORE
Just wow!,Good productREAD MORE
Worth every penny,Very nice product ??????READ MORE
Does the job,BestREAD MORE
Decent product,Value for moneyREAD MORE
Moderate,Please all flipcart users don't any product to buy flipcart portal . Again and again all users to say don't buy any product to flipcart.READ MORE
Fabulous!,Good productREAD MORE
Super!,It is very niseREAD MORE
Good,Noot good Samsung Galaxy M31 plz  take careREAD MORE
Great product,Good but perfomance is not goodREAD MORE
Great product,niceREAD MORE
Terrific,Working very smoothly ??READ MORE
Did not meet expectations,Very bad over heat the bodyREAD MORE
Excellent,NiceREAD MORE
Must buy!,Sound mickREAD MORE
Classy product,Very Nice Product . I like this phone. battery backup is so good. camera pictures so clear ??READ MORE
Does the job,Kartick BiswasNice PudacREAD MORE
Fabulous!,Price is little high comparison to other brands with this features but performance is enough good. But price is Ok after brand Samsung keeping in mind.READ MORE
Classy product,good productREAD MORE
Does the job,SuperREAD MORE
Classy product,GoodREAD MORE
Just wow!,Awesome phone.. thanks FlipkartREAD MORE
Super!,This product is very niceREAD MORE
Value-for-money,Overall experience is good. Value for money..READ MORE
Just wow!,Ossm mobile worth to buyREAD MORE
Good quality product,It s ok value for money.....READ MORE
Must buy!,AN  ALL  ROUNDER... VALUE  OF  MONEY... I  LIKE  IT  VERY  MUCH...READ MORE
Brilliant,Really very nice productREAD MORE
great,valued productREAD MORE
Classy product,Amay ging productREAD MORE
Worth the money,This phone's battery backup is awesome. Overall liked it and suggest it to others.READ MORE
Simply awesome,Good productREAD MORE
Simply awesome,Nice phone a lot of battery can work continuously for a day while playing a game.READ MORE
Fabulous!,Value for moneyREAD MORE
Brilliant,Fantastic phnREAD MORE
Best in the market!,Nice mobile.....!READ MORE
Perfect product!,Nice phone.READ MORE
Just wow!,V GoodREAD MORE
Terrific,Excellent camera and huge battery backupREAD MORE
Highly recommended,Thanks you flipkartREAD MORE
Fabulous!,SuperREAD MORE
Terrific purchase,GoodREAD MORE
Simply awesome,Nice mobileREAD MORE
Terrific purchase,Must buyREAD MORE
Nice product,GoodREAD MORE
Awesome,Very good. The photo clarity is really great. Thanks for Flipkart for delivering the product on time.READ MORE
Brilliant,Nice mobileREAD MORE
Go Fot It,"After using 2 days,+ Good Build+ Beautiful Display+ Super Amoled Screen+ Fast Charging+ Lag Free Performance+ No Heating+ Massive 3500 mAh Battery+ Great Audio+ Decent Rear Cameras+ Dedicated MicroSD Slot+ Camera quality + Head phoneCons:- No notification light- Charger wire is too short- Unwanted Apps - No Case/Cover ProvidedRatings:Design: 4/5Display: 5/5Sound: 4/5Battery: 4/5Back Camera: 5/5Front Camera: 4/5Processor: 5/5Call Quality: 5/5Face Unlock and Finger...READ MORE"
Very Good,Awesome mobile awesome model great camera quality. Great service by flipkart delivery within 3 days. Just amazing.READ MORE
Pretty good,"camera is too good but battery backup is not so good , but at this price this is best phn in samsung...READ MORE"
Super!,"good one from Samsung. awesome display, nice touch and smart finish.READ MORE"
Worth every penny,"I was in confusion..should but i buy  this phone or other phone like redmi,honor 9n,nokia x6.....720p display is in specs but dude dont see the specs ..its samsungAnd camera is outstanding  far better  than their    competitor's....battery is good...screen is very good....u will love samsung experience  version.....u can play PUBG... nothing to lose....and the main thing this phone will not let u go service  centre coz it's  a samsung device...if u find this helpful let me know..pls thmbs upREAD MORE"
