,Review,Polarity
0,samsung time favorite brand never used brand phone amazing every terms flipkart always giving best comes product quality delivery time happy satisfied customer samsung flipkart,Positive
1,wowww good mobile superb battery back osm cameras great processor love thank much flipkart fast delivery,Positive
2,worth price birthday gift honey loved awesome mobile really nice good performance,Positive
3,samsung nice product looking owsam self camera back good,Positive
4,nice product,Positive
5,good phone,Positive
6,good phone,Positive
7,amazing product satisfied,Positive
8,perfect mobile,Positive
9,good camera quality impressed,Positive
10,good battery back high resolution screen,Positive
11,big battery big display fast charging short data cable cm long headphones screen guard back cover slightly costly,Neutral
12,awesome phone price range,Positive
13,awsome touch good people looking larger battery backup though charging take hours,Positive
14,good,Positive
15,awesome product delivered right time,Positive
16,best phone,Positive
17,price high phone good excellent camera battery life good overall good thank flipkart,Positive
18,best mobile big battery ever,Positive
19,using week satisfied product according point view best camera quality better battery backup upto two days usage nice gameplay better amoled display last say value money product,Positive
20,love mobile best value money,Positive
21,wonderful,Positive
22,excellent product fastest delivery,Positive
23,excellent battery overall design good little bit weighty due mah perfect need extra battery,Positive
24,thanks dilivarying fast mobil nice,Positive
25,really good,Positive
26,good,Positive
27,awesome product n amazing performance n awesome camera clearty,Positive
28,value money,Neutral
29,good,Positive
30,best mobile range,Positive
31,nice,Positive
32,good,Positive
33,nice,Positive
34,average quality high price,Neutral
35,overall gud impression front camera less quality,Neutral
36,good phone,Positive
37,love product,Positive
38,nice,Positive
39,disappointed processor slow failed meet expectations,Negative
40,good phone screen wide,Positive
41,superb mobilebest designcamera b finehigh speed ramservice finedelivery fastover best experience days used,Positive
42,satisfactory also pic quality good bt takes storage like mb something pic overall great,Positive
43,super phone like phone much,Positive
44,connectivity poor,Negative
45,costly,Neutral
46,good product,Positive
47,awesome working property awesome product samsung,Positive
48,connectivity problem,Neutral
49,awesome display good performance really love thanks much flipkart,Positive
50,nice camera ram nd battery extremely good think price would u flipkart,Positive
51,nice,Positive
52,price high,Neutral
53,good,Positive
54,nice must buy order second one mobile,Positive
55,excellent product reasonable price,Positive
56,super excellent product flipkart,Positive
57,fantastic,Positive
58,samsung hate service flipkart lockdown poor,Negative
59,nice,Positive
60,good product,Positive
61,nice,Positive
62,good quality back cover not found attach,Positive
63,phone hanging within days buying waste money,Negative
64,nice phone,Positive
65,nice phone,Positive
66,superb mobile,Positive
67,asmmmmmmm,Neutral
68,good,Positive
69,product good,Positive
70,good,Positive
71,super,Positive
72,good one pricing high,Positive
73,super,Positive
74,happy,Positive
75,take long time charging battery life good camera quality not much good new changes display look like still using old samsung mobile,Neutral
76,nice phone,Positive
77,really outstanding,Positive
78,nice,Positive
79,good,Positive
80,good,Positive
81,good,Positive
82,good,Positive
83,good product,Positive
84,nice phone,Positive
85,good,Positive
86,nicesuper pic,Neutral
87,nice products,Positive
88,bad,Negative
89,bad flipkart,Negative
90,nice product love thank much flipkart,Positive
91,nice,Positive
92,good,Positive
93,good,Positive
94,nice deliver super,Positive
95,handset getting heat,Neutral
96,phone really great,Positive
97,bad performance dont buy,Negative
98,bad charger missing box,Negative
99,bad product,Negative
100,best purchase thank flpcrt,Positive
101,perfect price,Positive
102,excellent phone low budget,Positive
103,good mobile phone,Positive
104,wow samsung great amazing product,Positive
105,not met expectation pathetic camera performance battery draining fast,Negative
106,nyc product,Neutral
107,good,Positive
108,best mobile phones range good quality thanks flipkart,Positive
109,awsm phone kindly improve software sometimes touch stop working min,Positive
110,good,Positive
111,osm,Neutral
112,super,Positive
113,nice product,Positive
114,good performance one less star hard lock usage prevent sharing private info facebook app uninstall,Neutral
115,good,Positive
116,hot set running,Positive
117,good,Positive
118,best work,Positive
119,good performance,Positive
120,good product awesome love,Positive
121,best phone,Positive
122,awesome mind blowing camera battery back super performance good,Positive
123,good,Positive
124,nice,Positive
125,bad product bad service flipkart,Negative
126,hang problem expected use whatsapp chatting min phone automatically stopped minutes functioning,Neutral
127,awesome,Positive
128,good phone heat problem,Positive
129,looking gud,Neutral
130,amazing front camera good gifted mobile husband talking video call front camera good picture clear waiting see mobile happy everyone without doubt go,Positive
131,worth money good use,Positive
132,good phone,Positive
133,good service delivery boy nice helpful,Positive
134,good camera quality not,Positive
135,superb,Positive
136,good product,Positive
137,good quality,Positive
138,phone heating slow charging speed also slow kindly refund amount soon possible,Neutral
139,amazimg phone,Neutral
140,amazing mobile,Positive
141,nice,Positive
142,price high comparison options somewhat disappointed,Negative
143,purches mobile not properly working camera not opend nd sim slat signal not showing returned mobile not coming agent receved finally worst service,Negative
144,good,Positive
145,day uss phone folder not warking day hold phon samsung sarvice uss may phon avrege wark not fast warking,Neutral
146,best quality,Positive
147,velue high,Neutral
148,awesome mobile,Positive
149,battery backup bad sceen touch not good working,Negative
150,good,Positive
151,nice product satisfied loved product,Positive
152,nice product,Positive
153,awesome,Positive
154,bhai bhot hard camera blur dslr auto focus love samsung,Neutral
155,battery heating,Neutral
156,best mobile phone,Positive
157,bad packing disappointed packing looks like returned product mrp scratched starts product many scratches backside looks like used product disappointing,Negative
158,nice product samsung,Positive
159,best,Positive
160,extremely extremely worse mobile could company launch product unbelievable,Negative
161,super phone negative point,Neutral
162,betray not charging,Neutral
163,device network automatically disappear net closed last order flipcart take money device work not work,Neutral
164,amazing,Positive
165,good phone,Positive
166,nice produced,Positive
167,nice fone,Positive
168,performance good,Positive
169,nice product,Positive
170,great phone little heavy hand good one hand usage difficult u small medium fingers need long fingers use single hand battery charging takes time equally slow moderate usage u use mobile days back surface finger print magnet wouldnt advice use phone without cover using phone office work not much gaming cant comment,Neutral
171,value moneyvery nice,Positive
172,good phone,Positive
173,nice product,Positive
174,super mobile battery power amezing thank flip kart,Positive
175,excellent,Positive
176,good,Positive
177,excellent,Positive
178,bought new samsung flipkart first time plug charge normally overheat mobile not return mobile flipkart says return date finish,Neutral
179,amazing phone camera display processor good,Positive
180,good product,Positive
181,nice camera happy,Positive
182,good phone terms quality value money camera good,Positive
183,fine,Positive
184,nyc phone,Neutral
185,worth buying,Positive
186,compare samsung mi much better,Positive
187,phone awsome display camera fantastic,Positive
188,mobile performance good camera good display awesome smooth working,Positive
189,nice mobile thank aal staff stay safe,Positive
190,nice,Positive
191,nyc phone highly satisfied,Positive
192,hlo guys phone give nice bettery backup camera good quality thank flipkart team,Positive
193,super love,Positive
194,good product,Positive
195,nice product,Positive
196,best,Positive
197,value money,Neutral
198,please flipcart users product buy flipcart portal users say buy product flipcart,Neutral
199,good product,Positive
200,nise,Neutral
201,noot good samsung galaxy plz take care,Positive
202,good perfomance not good,Neutral
203,nice,Positive
204,working smoothly,Positive
205,bad heat body,Negative
206,nice,Positive
207,sound mick,Positive
208,nice product like phone battery backup good camera pictures clear,Positive
209,kartick biswasnice pudac,Neutral
210,price little high comparison brands features performance enough good price ok brand samsung keeping mind,Positive
211,good product,Positive
212,super,Positive
213,good,Positive
214,awesome phone thanks flipkart,Positive
215,product nice,Positive
216,overall experience good value money,Positive
217,ossm mobile worth buy,Positive
218,ok value money,Positive
219,rounder value money like much,Positive
220,really nice product,Positive
221,valued product,Neutral
222,amay ging product,Neutral
223,phone battery backup awesome overall liked suggest others,Positive
224,good product,Positive
225,nice phone lot battery work continuously day playing game,Neutral
226,value money,Neutral
227,fantastic phn,Positive
228,nice mobile,Positive
229,nice phone,Positive
230,v good,Positive
231,excellent camera huge battery backup,Positive
232,thanks flipkart,Positive
233,super,Positive
234,good,Positive
235,nice mobile,Positive
236,must buy,Neutral
237,good,Positive
238,good photo clarity really great thanks flipkart delivering product time,Positive
239,nice mobile,Positive
240,using days good build beautiful display super amoled screen fast charging lag free performance heating massive mah battery great audio decent rear cameras dedicated microsd slot camera quality head phonecons notification light charger wire short unwanted apps case cover providedratings design display sound battery back camera front camera processor call quality face unlock finger,Positive
241,awesome mobile awesome model great camera quality great service flipkart delivery within days amazing,Positive
242,camera good battery backup not good price best phn samsung,Positive
243,good one samsung awesome display nice touch smart finish,Positive
244,confusion buy phone phone like redmi honor n nokia x p display specs dude dont see specs samsungand camera outstanding far better competitor battery good screen good u love samsung experience version u play pubg nothing lose main thing phone not let u go service centre coz samsung device u find helpful let know pls thmbs,Positive
245,first impression wow thanks flipkart timely delivery phone know early make statement based day use stop sharing pros big screen amazing camera super loud clear speakers dual sim five star providing seperate trays sim cards memory card slot not hybrid separate provision memory card dual front camera wide angle pic exceptionally bright display standard samsung func,Neutral
246,using phone past days main highlight camera absolutely great mp rear combo click great shots low light capability also good front camera decent could much better super amoled display awesome good amount sharpness case prossesor snapdragon decent not great could go higher version chipset considering price handle heavy games,Positive
247,game lover movie lover disappoint using phone last days position put opinion j phones pros decent battery life fits easily palm unlike phones hard handle one hand renowned brand satisfaction post purchase customer support super amoled display cons hd display price range oooh come samsung half price,Neutral
248,best amoled display phone price range basic requirement performance good camera screen size sound quality design two things missing fast charging facility k video recording slo mo price samsung brand good battery display highly recommended much satisfied,Positive
249,good product k super amoled display always suggest want mid range good phone good display u buy,Positive
250,good smartphone best performance light heating issues hour gaming best battery life recommend buy smartphone instead j value money every features loaded,Positive
251,device better chinese products build quality hardware softwares even good battery backup even better gave star instead star atleast notification led light sensor quick charging option well face unlock little slow open device eyes would close secure one plus oppo vivo mi chinese devices,Positive
252,nice phone good packing r fully satisfied product thank u flip kart,Positive
253,galaxy infinity really awesome smart phone samsung camera quality good battery backup also nice appearance phone also premium delievery flipkart late also back case cover provided box also samsung given notch phone phone range feature overall phone provides full value oh money,Positive
254,nice mobile stunning performance battery backup also superb click low light selfie also display awesome say samsung given good fixes improvement time j totally similar j difference,Positive
255,brought phone offer nice look good camera display ok camera better redmi note pro aspects note pro add artificial colors photos natural color samsung os user friendly worth better chines brands classy product go,Positive
256,st android based phone got e samsung galaxy eclair os using till end tried brands till got software interface samsung experience outperforms samsung touchwiz top skin manufacturers decided go back samsung real delicate flimsy hardware like low cost phone makers phone makes tried heat issue screen flickering issue even moist,Neutral
257,big screen double camera sleek body battery also good good good body cover flap cover flipkart mobiles,Positive
258,mobile semma excellent battery backup fastly charging superb camera clarity ultimate mobile speed worth money doubt go satisfied product flipkart good packing quick delivery extremely satisfied flipkart service,Positive
259,samsung another name trust using phone months not got even single bug wonderful love back look phone glossy looks classic expectations way u shopping flipkart u relaxed u searching phone range highly recommend,Positive
260,cameras good p display resolution resolution improved p price range display colours good compared brands good samsung apps samsung mall app image recognition technology good hassle free online shopping bought samsung services best buy range,Positive
261,awesome phone display camera good premium design look think buy samsung best brand,Positive
