,Review,Polarity
0,movies music documentaries dramas action films time classics soundbar analyses source delivers sound optimized type content never miss dialogue sound smart sound soundbar https co tku gfabwm,Positive
1,yet another record broken thanks love easily smashed record highest number notify requests ever smartphone amazon india million,Neutral
2,week submited ultra service week not recevied msg call yet service centre need doa phone soon possible juss motnhs dead service,Neutral
3,writing bring attention purchased phone father december screen stopped working suddenly father took service center warranty c,Neutral
4,tab works even many years clearly superior,Positive
5,much,Positive
6,love always brand,Positive
7,successfully booked gb gb varient,Positive
8,wonderful product,Positive
9,karidha hu batry problem aari h usme mahina hua h bus liye,Neutral
10,buy phone plzz guys bcz bought galaxy phones stop working day service bad expect,Negative
11,purchased galaxy volume problems month purchasing,Neutral
12,price n colour note plz,Neutral
13,worst phone received defective piece long process return book official website said take days buy bad experience first time cameraproblem savextechnoloies serv galaxym,Negative
14,jio data speed gets little oppo vivo readmi gets good speed modals slow speed jio data slow speed jio,Neutral
15,mobile not available amazon prime sake not delivered place like hathras agra aligarh ghaziabad delivery available areas please provide phone n delivery poss,Neutral
16,get internal part refrigerator model samsung rt hajsalx tl,Neutral
17,mobile,Neutral
18,mobile,Neutral
19,legal case registered soon section ipc provided many chance playing gave time not resolved issue,Positive
20,always big fan products refrigerators given us big pain highly expensive fridges years made us spend extra parts absolutely disappointed refrigerators please arran,Negative
21,brand associated unprofessional courier service ecomexpress delivering product purchased official site purchased one tab lite th july reached destination,Neutral
22,newsin singh sab pls improve service karnataka,Neutral
23,newsin love always brand,Positive
24,hello type kannada language samsung mobile unable see kannada language even selecting kannada,Negative
25,hello please cancel order placed website,Neutral
26,sir service request fully automatic w extended guarantee issued saved technologies pvt ltd three years paid inclgst service center people say not valid document,Neutral
27,mobile rencently bought new sansung high hopes provide good processing speed dream come true nightmare using phone hanging like mom manufactured,Positive
28,mobile facing issue galaxy phone kindly assist,Positive
29,team facing major battery issues plus mobile phone help suggestion recommended great help,Positive
30,bought active watch days back tired following team provide extra hole belt fit opened multiple tickets every time close saying,Neutral
31,need know hdfc card offer available lite yes much secondly lite gb yet available buy ur website,Positive
32,mobile pls fix note home screen hanging issue face unlocking phone thank hope hear soon,Neutral
33,mobile submitted doa certificate samsung estore support email still response samsung team worried not get refund doa certificate valid days,Neutral
34,launch date,Neutral
35,amazing love tab note ultra,Positive
36,service center service worst hate service center employees ahemdabad,Negative
37,pathetic service new buds new ur service center last months response ur side,Negative
