,Review,Polarity
0,best tv price range youtube video quality support p not k bluetooth not available nice features connectivity nice takes seconds connect wifi scteen share,Positive
1,good selection price range picture quality decent good sound system connectivity also easy youtube prime netflix using single button remote time delivery flipkart installation next day overall price range good product,Positive
2,good,Positive
3,good quality price picture quality good sound quality also good,Positive
4,absolutely value money,Positive
5,good tv,Positive
6,awesome one comparison one totally impressed thanku samsung make type television nice buy think purchase samsung nice provide,Positive
7,picture sound quility super awesome samsung expirenceis amazing thankyou flipkart,Positive
8,using tv past days found following image quality good sound quality good connectivity good overall product good use samsung better mi redmi vu tvs go,Positive
9,pros pricing comes lower price even standard smartphone picture picture quality good however square pixels clearly seen looked closely sound nutshell awesome value money pre installed apps hotstar netflix youtube etc similar apps built switch internet enjoy cons bluetooth lacks bluetooth connectivity feel unbelievable hd ready resolution not great keeping,Positive
10,good picture sound quality good connectivity,Positive
11,normally good bought rs via hdfc credit card bluetooth connectivity bad,Neutral
12,nice good colitis,Positive
13,u receive first thing u update tv software change sound preferences amplify good picture quality u subscribe first hd channels ur dish hd files input required normal tv channels burst screen wireless connectivity awesome power consumption bit high rated,Positive
14,awesome product samsung installation process slow time,Positive
15,sound quality not good picture quality good price good,Positive
16,samsung demo technical services engineers not come two days completed,Neutral
17,value money product along awesome picture sound quality never think buy product,Positive
18,good,Positive
19,fully satisfied product great picture quality,Positive
20,tv good service worrest worrest worrest,Positive
21,nice product,Positive
22,good product samsung daughter rakshabandhan gift happy,Positive
23,outstanding performance thanks flipkart product chif wow,Positive
24,good,Positive
25,tnx samsung,Neutral
26,awesome products,Positive
27,good,Positive
28,good television modern time want go nd buy,Positive
29,technician not explain features also defective drill machine damage electrical wiring,Neutral
30,nice item,Positive
31,product good crevice bad respance installation team crevice late bad,Negative
32,excellent,Positive
33,best picture quality dth connection low picture quality internet connection,Positive
34,checked every feature working absolutely fine sound quality good video quality also good every apps working fine main problem found much apps not android based os,Positive
35,deliverd time days delivery one samsung service engineer called installation flipcart customer care also not able help side tv awesome picture quality sound perfect,Positive
36,installation bad tv good,Neutral
37,product good service flipkart bad,Neutral
38,happy product,Positive
39,please make sure want bluetooth facility buy tv bluetooth connectivity really disappointed,Negative
40,please make sure want bluetooth facility buy tv bluetooth connectivity really disappointed,Negative
41,best product delivery demo installation fast thank u flipcart product,Positive
42,nice product thncx flipkart,Positive
43,nice product,Positive
44,wow awsm must buy,Neutral
45,everything good company engineer mad personal also not following safety measures corona touching every also not wearing mask uneducated people disgusting,Neutral
46,super,Positive
47,good,Positive
48,good product wall hanging bracket needs add tv overall good tv reasonable price,Positive
49,good product proud flipkart,Positive
50,not good problem nd important part software nd smart software tougher not customer friendly,Neutral
