,Review,Polarity
0,overall good satisfied price pros good battery best budget phone gb ram gb internal memory drawback felt camera looking better camera would suggest pick model,Positive
1,nice performancecamera quality goodlight weightmultifeatures excellentgood gaming purpose mi,Positive
2,bad experience amazon bad camera quality phone want return phone amazon not taking back phone want purchase product amazon leaving amazon app permanently,Negative
3,product best price charging speed slow cannot accept price,Positive
4,got many bugs screen turned completely blank clicked update system app surprisingly heating issues brightness lowfor camera rear okay front lacks details,Positive
5,good,Positive
6,good,Positive
7,good phone orange nice colour love features better phones,Positive
8,g ok day day usage not highly capable,Positive
9,poor mobile used fhd mobile phones bet use phone hour prosbattery sleek design call quality consworst display ever seen youtube videos processor pathetic camera front okay back total failure poor internet connectivity nothing inside box please think buy phone regret made china product mentioned india everywhere mobile soft cover shows made china rs wasted buy elderly person use call purpose better buy,Negative
10,good product value money phone everything average display good battery life also good bought employee mine overall good phone combo hard find price range exceeded expectations,Positive
11,good,Positive
12,browser not support html video auto response start problem start mobile,Neutral
13,ok kind phone camera pathetic not expect type camera phone even old redmi mobile better camera apart camera could see lag screen moving different pages though gb ram better choose phone notification light micro usb charging port night mode camera update using days phone gets lagging time matter ever app use completely waste money not buy mobile,Neutral
14,best mobile,Positive
15,worst product ever camera quality poort rear well front amazon not ready take return new policy replacement policy get replacement take back bought sale heard friends redmi phones good suggest not buy amazon better go buy store atleast take rs exchange product speaker poor not hear properly speaker product not worth price range one get better options payin bucks extra,Neutral
16,best mobile best service currior boy,Positive
17,overall good mobile camera not good expected overall performance good value money,Neutral
18,charging adapter came phone turned defective stopped working weeks purchase know return adapter claim warranty adapter alone phone working fine far looks good,Positive
19,samsung gb ram battery back good redmi much space app ram speed slow battery back draing day not happy redmi product return amazon days unfortunately building effected covid possiitive totally issulated one contact us able send return mobile,Neutral
20,suggestion everyone thinking buy redmi please buy redmi trust brand not redmi purchased phone weeks ago first good condition week started hang every morning days phone completely shutdown know getting one month happened getting really hurt use phone,Positive
21,redmi many disadvantagescamera quality worst front rear processor slow body plastic uselessdisplay quality badmicro usb charger wonder since model new phones coming c port phone old model micro usb port video calling issue heating issue charge aswell call video call many issue return phone amazon totally phone gutterchap quality,Neutral
22,xiaomi provided magnificent smartphone low budget section increadible feature great visual asthetics pros gb ddr ram faster sd xx series gb storage inr mah battery however chipset consume battery compared sd mah battery perform fast charging support definitely buy fast charger great experience miui simply clean loaded features seamlessly switch provios mi phonecons battery sucking chipset helio g not optimize gaming lack notifications light small deadly features miss quite often ppi display p resolution looks crupmy huge size poor quality made india accesories building quality poor well camera dissatisfied useless camera bump poor camera marketing showing circles loaded bloatware adware unauthorised data transfer china possible go motorola e around price great experience snapdragon clean android experience,Neutral
23,poor camera look like jio camera supplier not responded regarding issue,Negative
24,good product budget honest review days usagedisplay camera good budgetaudio quality finger print sensor face good processor hello g good even redmi gave hyper engine technology good playing mild games surprisingly sar value low awesome dont try play heavy games sometime get hang battery life awesome get upto max days battery backup mild usagethe problem not give usb type c cable budget not big issuemainly recommend product love study online platform,Positive
25,battery performance not good camera quality not good also brightness device want mobile,Negative
26,best,Positive
27,good product low price thanks amazon redmi mobile product excellent looks colour awesome features love product much thanks amazon,Positive
28,phone good works smooth camera disappointing,Neutral
29,nice product,Positive
30,price low along exchange offer winner one likes keep old phone buy new one dont mobile phones keep piling home bought mywife pretty pleased buy indeed value money keep mind needs phone,Neutral
31,never trust redmi,Neutral
32,phone hang application work properly pls buy try return lots stages procedures performance phone bad redmi provide gb ram gb experience poor network connectivity times showing blank screen waste products big lose money,Negative
33,amazing product thanks,Positive
34,mobile screen good battery backup excelent daily usage good gaming experience laggy pubg call duty almost not possible play game gb ram still not good enough handle gamescamera quality worst not even near expectations chinese knows well attract indians camera megapixel camera filter sound big screen common attractive looks normal usage like calling messaging whatsapp device enough game lover photography lover device not want decent android mobile daily usage good,Neutral
35,phone calling whats app youtube gifted phone mother per usage felt okay worst part camera even redmi note seriously felt note camera much better redmi got phone,Neutral
36,good product nice looking super,Positive
