,Review,Polarity
0,gifted father nd smart phone simple expectations trust beyond expectations cool buget oriented device good camera battery backup normal daily usage camera display battery value money specs,Positive
1,best value money mobile camera awesome battery back good work smooth,Positive
2,overall good product would rate thenfront camera rear camera display design performance overall good product range lack finger print sensor flipkart site page written full hd display box nthg specified know last not least fast delivery flipkart thanq flipkart,Positive
3,camera not good everything else fine according price nice built quality looks display battery os processor good lite usage,Positive
4,super mobile must buy good free fire also smoothly running,Positive
5,nice product,Positive
6,vary good quality,Positive
7,nice,Positive
8,good phone budget,Positive
9,great product redmi thankyou fastest delivery expected get product soon thankyou,Positive
10,best mobile redmi great,Positive
11,nice,Positive
12,awesome phone,Positive
13,value money good battery life use days,Positive
14,nice product,Positive
15,good mobile soft work,Positive
16,thanks mi love phone,Positive
17,awesome phone,Positive
18,value money,Neutral
19,good phone budget,Positive
20,super,Positive
21,pis best poor mini digital mobial many faction picesbut colour difot choice colour,Positive
22,good budget device,Positive
23,good,Positive
24,beautiful product,Positive
25,superb,Positive
26,excellent study,Positive
27,good mobile like colour best,Positive
28,good mobile better performance high battery power ram rom capacity less,Positive
29,awesome phone,Positive
30,value money,Neutral
31,bought week ago second day started show problems like connectivity problem playstore youtube also update also not downloading contacted mi customer service immediately resolved problem working okay apart camera not expected value money overall good seems good performance,Positive
32,good product,Positive
33,good product,Positive
34,good,Positive
35,nice,Positive
36,super,Positive
37,good,Positive
38,awesome mobile battery,Positive
39,nice,Positive
40,good,Positive
41,superb phone battery performance good charging slow,Positive
42,nyc,Neutral
43,good buy flipkart,Positive
44,nice smart awesom lovely wonderful best awesom lovely fantastic super awesom fabulous excellent beautiful lovely pic beautiful osm beautiful nice omg gjb amazing nice one top osm good luck sandaar jakaas jordaar good asilent,Positive
45,good,Positive
46,best product thank much flipcart team,Positive
47,value money,Neutral
48,not take mobile,Neutral
49,happy mobile mobile mom,Positive
50,nice product,Positive
51,good,Positive
52,superb product,Positive
53,expected even back cover not get nice phone,Neutral
54,good product,Positive
55,good product,Positive
56,product best time time delivery,Positive
57,nice,Positive
58,nycc product love mu,Positive
59,nice selfie,Positive
60,network issue,Neutral
61,nice,Positive
62,low prices excellent quality,Positive
63,thanks delivery contentment zone awesome product grt camera features battery backup love,Positive
64,lower quality,Neutral
65,excellent,Positive
66,awesome,Positive
67,bad,Negative
68,super,Positive
69,much coast high price,Neutral
70,bad,Negative
71,good,Positive
72,camera not good battery good performance love,Positive
73,good product useful nice,Positive
74,best mobile range,Positive
75,super phone price high,Positive
76,nice budget smartphone,Positive
77,worth buying cheap best battery backup,Positive
78,good information conflict ram written gb display specification display gb deliverd product gb ram clear order,Positive
79,overall product good actual rate online site spent extra anyway received expected,Neutral
80,battery backup awesome display fantastic low camera quality control gb ram,Positive
81,awesome product correct time delivery,Positive
82,price high specifications,Neutral
83,super mobile phone,Positive
84,bad,Negative
85,camera bad,Negative
86,disappointed camera flash low quality gorila name work gorila,Negative
87,super nice,Positive
88,nice product,Positive
89,nice mobile display quality good delivered days game performance good suggest budget mobile,Positive
90,good price high,Positive
91,bad performance laking problem,Negative
92,disappointing camera,Negative
93,value money,Neutral
94,smart phone ram rom low,Neutral
95,good nice mobile,Positive
96,not satisfied phone less usage phone heating also arised touch problems,Negative
97,best fast processing mobile price,Positive
98,nice phone,Positive
99,display issue,Neutral
100,waoo nice product,Positive
101,camera low quality,Neutral
102,good product,Positive
103,good,Positive
104,good value money,Positive
105,great choice segment,Positive
106,nice mobile,Positive
107,nice smart phone,Positive
108,nice,Positive
109,writing review almost week overall good phone battery display camera performs well natural light not soo good artificial light overall good budget phone low performance thing hates doesnt stock android,Positive
110,bad camera,Negative
111,good,Positive
112,best,Positive
113,nice,Positive
114,good,Positive
115,good phone,Positive
116,good,Positive
117,smart phone,Positive
118,good product value money awesome mobile,Positive
119,supar mobail,Neutral
120,cool value money normal use,Positive
121,nice mobile,Positive
122,excellent,Positive
123,good,Positive
124,nice phone good camera battery,Positive
125,nice,Positive
126,good product,Positive
127,osm,Neutral
128,nice phone delivery first,Positive
129,budget mobile,Neutral
130,cheap best quality,Positive
131,ya good one,Positive
132,nice device value money,Positive
133,splash proofbattery backupface lock nice fast responsedesign look compact sizenice delivery old mobile exchangei give star reason,Positive
134,super,Positive
135,goog phone,Neutral
136,average camera performance,Negative
137,gud,Neutral
138,excellent,Positive
139,excellent product,Positive
140,good,Positive
141,touch issue started weeks,Neutral
142,budget friendly product value money device,Positive
143,nice phone,Positive
144,good product flipkart,Positive
145,nice mobile,Positive
146,irs ok low budget,Positive
147,good,Positive
148,nice phone,Positive
149,not bad,Positive
150,good,Positive
151,superb mobile phone,Positive
152,good,Positive
153,nice product,Positive
154,good,Positive
155,excellent,Positive
156,good phone,Positive
157,nice,Positive
158,excellent,Positive
159,ok,Positive
160,delivery fast,Positive
161,not bad,Positive
162,happy good product,Positive
163,battery problem,Neutral
164,verry good,Positive
165,god,Neutral
166,battery much support,Positive
167,beautiful phone got within day thanks flipkart,Positive
168,owsome phone good,Positive
169,good phone price,Positive
170,satisfied,Positive
171,phone look,Neutral
172,good phone price,Positive
173,good mobile delivery,Positive
174,lovely phone lovely price,Positive
175,super,Positive
176,nice,Positive
177,nice mi mobile phone good battery,Positive
178,good phone nice price,Positive
179,good,Positive
180,excellent,Positive
181,nice,Positive
182,super mobile bought one month automatically closed app problems comes times pls rectify,Neutral
183,display low,Neutral
184,product good battry drain little fastly got k price range total average good product price,Positive
185,time product delivered,Neutral
186,good condition,Positive
187,good performance phone budget,Positive
188,nice,Positive
189,ok,Positive
190,thank flipkart date delivery phone awesome,Positive
191,good item,Positive
192,mobile good,Positive
193,looking nice good performance,Positive
194,best phone,Positive
195,osm,Neutral
196,nice production,Positive
197,nice phone,Positive
198,reply,Neutral
199,nice good,Positive
200,already using model since one year redmi mobile phone super specifications well peculiarities compared phones also product got delivered time also delivery guy good ang resposive keep flipkart,Positive
201,good product thousands,Positive
202,nice phone budget,Positive
203,camera quality not good,Negative
204,awasome looking beautiful nice product low price,Positive
205,best value money phone,Positive
206,thanks,Positive
207,good product,Positive
208,price worthy overall nice product,Positive
209,good product ratecamera quality goodbattery performance good,Positive
210,thanks flipkart,Positive
211,average,Negative
212,best quality low price,Positive
213,nice,Positive
214,nice phone worth money nice futures,Positive
215,good one,Positive
216,nice product,Positive
217,box looks old quite lagging performance display average camera average sound average bought father not sure last long since already lagging first performance,Neutral
218,well,Neutral
219,good,Positive
