,Review,Polarity
0,pros lesser price android tvcons screen bleeding issue dull colors sound average bass volume speaker randomly going worst service customer support google voice search button hit miss press even times sometime,Negative
1,amazing tv cheapest price know buy tv showroom tell supports ultra hd k user tells not support k telling wrong ilove tv,Neutral
2,pathetic product pathetic sale service brand well amazon support even amazon prime selling watch netflix well tv apps one ever heard sending legal notice deficiency service harassment,Negative
3,netflix not support mi android tv app inbuilt chrome cast highly disappointed called mi customer care said support basic feature smart tv declared selling,Negative
4,one year review worst kind android tv let netflix excited abt tv thinking watch netflix surprise allow netflix mi brand damn shame sony big brands cuz reason unlike mi new game big aspirations compete big brands sorry features sorry support use tv extension laptop bought fire stick weeks back hdmi ports giving cracking sound audio picture breaking badly days warranty even cover servicing due plus grace period frustrating buying trash tv play netflix let use fire stick work properly please buy tv cuz cheap price guess cheap things cheap quality cheap feel,Neutral
5,screen mirroring sucks also mi ir cable mi tv remote not working dth channel changes not working,Negative
6,tv run minutes playing video wifi gives speed mbps drops kbps soon video put play machines not issue run wifi lan speed static routers modems changed several times nothing worked definitely something wrong wifi software inside tv technicians visited seen taken videos another technician also called phone seem speak similar line nothing wrong tv bottom line nothing wrong tv not run seems team clueless inefficient resolving issue may request change tv find solution hope someone would revert back soon,Negative
7,bought tv year ago startup tv slow probably could finish cup tea finish short snack pathetic mi connection wifi also slow mute button remote take care remote like month baby plastics cheap battery compartment cover fragile taped keep intact buttons response tv slow smart features fool install apps youtube logs automatically watching never know price point need sacrifice hurdles think buying light user go heavy screen time recommend product go brands like samsung sony lg coming audio yu r watching mastered sound wshhh wooo sound irritating normal hd quality audio suite viewers advertised w speaker gimmick far picture ok normal use,Neutral
8,tv overall good lags lot playing movies videos internet connection getting disconnected picture quality goodsound quality goodresponse time slow due gb ram built prime video netflix not happy performance od tv,Neutral
9,tv good price range picture quality good hd videos audio loud quality average wifi slow mirroring problematic sometimes works ok lastly delivery service amazon bad star ordered th tv delivered th irony distance warehouse home kms mi installation service prompt installation request placed evening installation guy came next morning overall average tv,Neutral
10,picture quality not top notch inch even hd ready sharpness contrast panel low side still miss netflix prime videos also wifi connection slow since support ghz live picture quality get excellent product great sound great funtionalities,Positive
11,must read reviews regarding specs performance etc review based view point normal user even user upgraded crt put hd subscription dth cable see picture quality awesome inch hd ready model ideal size hd channels generally p see attached pictures estimating picture quality second one youtube p experience xiaomi service center phone gladly tell trust service update sound quality subtly improved best thing even cast laptop using chrome think others provide application amazon prime soon supported netflix live worry find music apps play store tell google assistant wanna play play whatever app want gaana saavn wynk yeah complaints far would advice use stabilizer using government electricity service yes book installation sunday even shows available not saying make av hdmi default go apps live tv add favorites directly access cable interface patchwall whichever mode select set default open live tv app interface go go,Positive
12,pros tv looks good nice aesthetic appeal picture quality good bought inch hd ready one not entirely hd play hd stuff patchwall os received nice upgrade previous one content manageable fluid voice assistant feature nice edition remote not fast still nice feature built chromecast directly stream content device also pretty neat limitations accessible playstore large variety apps available directly limitations cons must heard not netflix prime default support go little manual process get working even use netflix without mouse keyboard later update solved keyboard issue yet test access google playstore important apps restricted feature not entirely useful built chromecast also allow stream netflix prime content download seperately sideload assistant work attach headphones tv warning anyone uses way sound quality not great limited bass although sound quite high nice quality sounds flat sometimesoverall decent tv nice picture quality built chromecast within good budget access blocked apps sideloading purchase ok making changes tv installing apps outside sources,Positive
13,product awesome amazon not full fill offers cashback offer tha amazon give cash back pgl bna h ek baar payment hui kaam khtm inka sbse best flipkart h instant cash back aata h amazon vaale pgl bnaye h mere sth bhi esaa hi kia h,Neutral
14,buy tv least amazon amazon completely incapable hold mi brand tv delivered th oct installation schedule provided nov amazon bluntly saying anything bucks tvs not good quality take guarantee,Negative
15,bad experience regarding installation product delivered well eta bad support installation still could not check product since installation pending scheduled date rd november still waiting technician visit not satisfied mi customer support also thinking returning product installation not done tomorrow support installation pathetic cant think support warranty period product may good use kind customer support,Negative
16,tv not mark cheap quality picture sound okay features not compared quality sony samsung lg chinese product cheap cost quality also mi thinks like apple charge extra rupees wallmount like pay extra money earphones buying mi phones buying not decision opinion buy better tv,Positive
17,satisfied first smart tv purchase online zeroed one reading many reviews happy selection happy manufactured india tag could see details china origin idea intentional seller end however gives mental satisfaction tv awesome steal prime day discount plus cashback great sound quality picture quality perfect pre installed apps netflix prime youtube patchwall etc u update apps get hotstar ndtv news etc breeze connect device signed google make things easier installation also quick recommend keep aaa batteries handy tge remote without installation cannot completed rest good,Positive
18,first amazon delivery installation reliable mark installation person good coming television picture quality bad mean display not bright whereas description says ultra bright stuff display totally disappointing also see slight white cloudy tint display sound also not clear watching movie able figure dialogues without subtitle poor sound build tv also not good outer frame press dear breaking coming back amazon not even ten days trying place return request amazon says return product not policy understand really thought product description match actual product amazon would take back product guess amazon lost customer tv wall showpiece,Neutral
19,simple mi tv super pros sound excellent p display youtube set k resolution watch videos voice command good receiving cons big problem chromocast casting good problem suppose home wiffi network first wifi connect tv wiffi connect phone wiffi network go wirless display option phone showing mi tv yo connect chromocast working otherwise not works mirroing mi phone problem connect fast like asus honor lenovo showing time takes time long wall mount stand not provided box price range rs compare brand iffalcon tv provide wall stand remote price,Positive
20,bought mi tv c pro option hdmi autoplay tv boots everytime open setting go input turn hdmi whatever source input mean point tv go much option watch channel bought tv not mobile phone start channel click button funny part enquired customer support team know anything mi tv support autoplay not c pro highly dissatisfied mi fix issue providing system update asap,Neutral
21,brought product looking promo videos shows app like jio cinema viu press release said prime video also hang none tv insignificant content viu one would like watch like showing something delivering something else,Neutral
22,regret decision buying crap tv nothing works pathetic display u insert pen drive tv goes mad many functions not work u install app playstore tv goes mad amazon prime netflix tried thru google chrome tv goes mad worst buy please buy cheap product please save money buy quality android tv leading manufacturers else repent like,Negative
23,using tweaking lot think tv pros great picture quality great volume clarity hdmi works great upto x resolution although tv p supports fullhd without lag issues miracast works amazingly well chromecast buggy always voice assistant works well remote great responsive like use android remote since wifi faster bluetooth remote everything working fine without issues cons lack dynamic range control dolby audio movies better need turn volume action scenes chromecast awful work connects screen mirroring casting buggy patchwall not customisable better use android launcher remove netflix prime video think issue many not problem since use p p videos youtube create much impact since not fullhd tv,Positive
24,received defective product weird shadows four corners screen like vignette effect like center screen bright whereas corners not tried white background saw thing clearly sound quality okay requested replacement mine everyone must check issue like not opening plain white background probably youtube,Neutral
25,picture quality reallly bad colors look faded bright blured none settings correct make better even cheaper tv models compared xioami give better viewing experiece xioami totally got one wrong tv doesnt default input setting u power tv select avi hdmi option everytime ridiculous not acceptable xioami support team needs correct software update immediately homepage interface realllly shabbby built quality realllly average,Neutral
26,well got tv today intact loved packaging harm done hardware coming installation contacted store link mail received installation guy polite minutes left charges box one remote one tv table top stand ac adapter although thought delivery man give aaa batteries remote nevermind thats hardly issue consider audio quality great k tv android os base read reviews netflix nd prime not deployed soon started tv ran update check nd found update android tv came version new version eas clearly stated supporting netflix lrime officially update mb update netflix preinstalled nd prime easy install play store running seamlessly coming casting yes possible google home app ur phone inbuilt casting mechanism problem casted phone nd worked like charm video quality great ran p p nd k running without stutter lag customization pretty great ui catchy easy understand nd use voice recognition feature works well although need internet connection make work anything think xiaomi least enable recognition system basic local tv functions meant yes turn volume nd change channels speaking requires internet connection please resolve also mute function mi tv remote know hard change hardware u give update press hold certain button mute unmute content watch free yes categorized great way table top atand sturdy look sleek classy loved product great job mi please take two things mentioned consideration ur next update mute thing localization voice assistant basic rv functions negative reviewers u r asking smart tv least smart explore everything start end place ur conclusions nothing would spoon feeded u guys thanks great day,Positive
27,first excited mi tv installation done days delivery irresponsible engineer wrongly mentioned installed status comes quality picture quality ok sound quality not great build material cheap important thing android tv lots software bugs wifi not working properly even installation latest firmware bluetooth connection speaker tough tv spending time finding device paired device not automatically connected via bluetooth not install netflix amazon prime many apps directly need install via sources installed apps not visible anywhere tv gets hanged many times,Neutral
28,delivered august today august till technician installation not appear lot waiting open box august started tv first day fine started hanging display started showing lines thought returning amazon says last day return august,Neutral
29,dont buy mi products sales service pathetic noone call u installation u search online request install local people call argue u requested late install charge days passed date purchase pathetic china mi product,Negative
30,lots things order missing table top stand not received tv user manual received tv incorrect wall mount screws received tv screws not matching tv configuration coarse pitch received instead fine pitch warranty card not stamped completely blank warranty card received outer cardboard box wet time delivery remote control received without batteries delivery executive insisted clicking picture customer without showing policy stating,Neutral
31,months owned called smart tv hangs like anything registered two complaints already hanging problem not got resolved bluetooth remove google voice assistant not working waste hard earned money chinese products technician told mother board error issue remote,Neutral
32,bought tv home use tv installed mi technicians inspite reminders follow continued month hear mi free installation done within days purchase neither amazon owns responsibility mi,Positive
33,purchased product oct within month started lot tech problems operating system keeps crashing middle watching something happened lot times lost count reset whenever os crashes technician resets problem reoccurs mi service informed replacement not available first days not good thing problem technical issue system crash still dont replacement tv waste system crashes cannot use purpose also trouble remote runs bluetooth pairing dysfunctioned soon within six months purchase also amazon prime netflix support cannot download play store well watch hotstar youtube tvthe netflix cannot directed casted app tv also chrome cast e tab cast picture quality horrible black looks purple tv casting os crashes tv cannot used anything total waste money time dont product unless good guarantee warranty option replacement faulty product like got,Negative
34,ordered tv jan installation done jantill works fine may approx months later find black spots tv screen months old n find big problem tvwhat guarantee tv works atleast years plzz request refund replace tvmy frnd also issue tv months got replacement tv,Neutral
35,purchased product different website launch sale although picture quality sound pretty good tv price nothing smart mi tvs support major streaming apps like netflix amazon prime video pathetic rather buy cheaper tv purchase fire tv stick amazon gives features tv,Neutral
36,got led tv rs first sale like features pros conspros built google apps including playstore download app want easily built chromecast great feature love thisit android patchwall feel customized features mi put patchwall gb internal memory get gb use remaining already occupied android system supports bluetooth help connect bluetooth speaker keyboard mouse headphone etc also google voice assistant senior members family would easily operate remote bluetooth connected cons default color settings little fade customized settings give wall mount remote batteries pack spend base price led felt led stand not good cheap quality though used mounted led wall support amazon prime videowifi disconnection issue even updatewifi connection not reliable tv hang sometimeoverall product worth price,Neutral
37,excellent product overall rating good know mi dosnt provide brackets place tv wall thing poor customer buy separate not overall benefits getting feedback mi team amazon team also people making business merchant please change immediately,Positive
38,picture quality seem hd promised sound automatically increasing high music song starts movie always need ready remote adjust sound screen reflecting day time picture not clear day due day light disappointed wanted return visited confirmed issues not knowing contact amazon team convey issue return return slot removed due time limit complained time tech came time amazon team please call phone resolve issue arrange return mi tv thank best wishes,Neutral
39,price point tipped buying decision favour pros dimensions weight compared previous tv much lighter thin bezelsconnectivity usb hdmi avcons hd ready not full hdandroid quite buggy google assistant stopped working day netflix prime video use apple tv box get access appsmiui tieup content needs separate logins signup paymentdisappointing pre loaded software chrome etcoverall not sure wise buy except price point,Neutral
40,really value money product buy age old crt tv broke beyond repairs got exchange problem faced first months issue connecting home wifi used take many minutes multiple attempts get connected wifi software update january started working well connects home wifi quickly picture quality quite good looking price point k bought oct connects remains paired jbl flip bluetooth speaker easily streaming samsung redmi lenovo mobiles also easy wifi voice recognition also works well limited number apps enabled android tv however also install additional apps using apk files usb ok browsing internet download puffin browser takes sometime get used quite hard remote buttons remote slim sleek remote bluetooth enabled need point directly tv wish direct setting open start dth cable input default quite difficult operate elders family know remote navigation functions read someone complaining not able install run apps like amazon prime netflix tv please note amazon netflix decision not support android tv hence blame xiaomi issue due corporate fight google vs amazon netflix nothing capabilities tv,Neutral
41,installation really challenge called amazon customer care many times get installed mi installation support center not helpful follow sla installation guy rude literally bad experience clarity tv average ok not excellent would recommend buying brands feel best based experience online installation warranty issues,Neutral
42,love mi brand tv somehow disappointed picture quality good sound ok ok type issue connectivity not able cast phone tv connecting bluetooth speaker also lengthy process remote minimum options kind setting come home page perform settings best option purchase normal tv non smart buy smart settop box thanks,Positive
43,pros value money patchwall subjective choice like remote simply works picture quality quite decent money paidcons connect wifi router ft away tv even called customer support see could fix finally move router height ft within ft around wall though make work sound output not make dance joy hd ready not full hd expecting muchinstallation outsourced not one screw installed without wall mounted swivel setup pretty ordinary service,Neutral
44,hi big fan xiomi products always worked perfactly not happy recent purchase mi c pro tv tv good much improve software part auto av select boot option older members family not able handle new os like interface want watch good old set top box channels simple option previous version mi tv not available onetemporary solution select live tv app tv set first app home screen whenever tv starts first app selected default pressing select big middle round button set top box start instant tv option available category android tv shutting wait whole os load bought mi ir cable detected live tv guide app main screen whenever select channel says cable not connected tried resetting tv still not working working fine previous tv not working one please help use built bluetooth regular normal bluetooth like sending files android available tv paying not let us use full potential android tv time displayed home screen always liked mi full support customers hope come solutions release update soon possible,Neutral
45,using days tv found picture sound quality quite good internet connectivity screen mirroring working fine full hd vedio internet works fine however not connect bluetooth speaker tv due internet vedio sound come via tv patchwall experience good voice tool tv remote helpful feature worth money,Positive
46,slow tv using months stopped switching talking customer service center told power related issue motherboard new motherboard cost service charge extra xiaomi quality poor experienced xiaomi phones also months warranty turns void product bocomes faulty never buy chinese products,Neutral
47,prossmart tv watch youtube voice command operated search search youtube content voice need type words led hd ready tv inches enough medium sized room halls wall mountable table top lightweight high quality picture display colour contrast excellent price hdmi ports inbuilt connect hd set top box computer hd cam dth set top box etc inbuilt chromecast device watch movies mobile content android mobile help wifi router low priced high quality featured tvconsunable third party appsunable download apps android play store remote not user friendly patchwall software dominates android amazon prime video app not included wall mount not included package want fix tv wall purchase separately overall product best price range,Positive
48,play thru wifi every hr gets disconnected reset get connected wifi buy firestick stay connected internet recommend anyone buy planning play thru wifi disappointed otherwise product good wifi problem happening cases bought tv better verify first buy tv,Neutral
49,usb ports supports pen drive not mobilr android name sake apps not support bluetooth detects tv remote device screen keyboard voice recognition not work update attach keyboard mouse overall restrictive tv not call smart tv smart tv features works properly,Neutral
50,bought second tv bedroom repenting not buy bigger size tv got exchange year old lg tv credit card discount k pros patch wall although old collection clear differentiator compared inch non smart tvs lg samsung sony lot regional content improving agreed sdish still good old fire tv stick works exception netflix audio needs set back stereo output not work inspite hd ready hd content looks good not great old lg hd ready cons sound loud audio clarity not good looks like outpur bass heavy makes dialogues less clear high volume not rugged like lg sony handle care plan shift homes delicate inch looks puny go full hd alexa integration android tv easy give feature,Neutral
51,not buy product name smart tv really pathetic product mi post sales service poor engineers nothing product product not support netflix amazon prime better purchase vu brand tv giving starts,Negative
52,picture quality sound ok internet also worked well screen mirroring casting not working properly requires hotspot data connection made work mi phone worked lenovo phone mi expert came installation solve problem technical expert also not able resolve issue also defaulton av mode not therefore operating os not easy elderly persons returned,Neutral
53,tv pathetic mirror casting screen casting literally spent hours figuring methods resolve issue solution yet methods tried reset tv still problem update chromecast bulit issue although supported reseted tv worked switched network issue came back frustrating seriously used goofle home not supporting even used mi phone check makes difference sucks advice dont purchase unless problem resolved else waste time like efforts went invain dissapointed mi product first time kindly work issues mi india saw multiple videos youtube people facing problem means genuine issue expecting support mi helping hand,Negative
54,writing review month use best feature tv patchwall google assistant built chrome cast whereas know mi china company expect deliver good quality product product built quality poor sometimes tv auto reboot family members always complaining tv sometimes speaker went due low ram always face speed issue browsing sometimes screen freeze overall give stars stars wasted k bucks behind product,Neutral
55,best smart tv lowest rate almost features pros really smart lots apps reads hard disks without trouble plays mkv files x codecs sometimes plays p videos also seamlessly inbuilt apps like youtube hotstar etc download play store cons bit slow sometimes switch sometimes mirroring slow high end phones work smoothly not load apps volume low large roomsverdict u want enjoy smart tv features lower rate mi tv best choice u need real feature rich smart tv go top brands like sony samsung,Neutral
56,pros sound good bluetooth connectivity cons installation person come worst picture quality totally faded color also lots noise screen numbering remote netflix amazon prime also download favourite app casting mirroring vga port cannot connect pc laptop pannel,Neutral
