,Review,Polarity
0,best led tv get cheaper priceclearity connecticity excellent,Positive
1,pros great picture quality price supports almost formats sound good borders thin design simply elegant even logo not irritating eyes user interface simpler android patchwall quite useful use connectivity internet phone simple reliable powercable long enough good quality voice operations accurate settings many modes pictures given,Positive
2,days usage picture quality good enough daily use like tv series news serials n sound soo loudconnectivity face problem wifi connectivity chromecast know people not able connect properly mine works perfectly fine bit problem remote cause bluetooth connectivity try work fine youtube also works fine face problem like picture sound delay even watch k youtube,Positive
3,great picture quality affordable price sound quality outlier otherwise perfect product really impressed specifications price tested amazed picture quality well interface smooth easy hands app references given download wish cons one disappointment sound sound quality par equalisation definitely issue need remote hand time control e,Positive
4,excellent led tv mi budget best value moneyit great performancefully satisfactionvery good service flipkart jeeves installation service,Positive
5,many people commented reviews wifi issue quite serious tried many options available internet get fixed success smart tv cannot wifi working properly means called smart tv absolute failure mi tv fire tv stick year back works like charm wifi connection,Neutral
6,mi led x beast picture quality sharp clear impressed picture quality mi led another thing sound quality outstanding sound quality good happy buy product,Positive
7,wonderful picture sound quality ui also full features easily operable much much better oneplus tv one overpriced features except speaker oneplus watt speaker mi watt speakers enough sound quality get feature patchwall mi oneplus also consuming less data anyother tv,Positive
8,great bang buck tv pros k panel great clearly notice difference full hd k closer using monitor performance good enough better firestick many instances worse case prime video expected startup takes seconds fine smart tv ability use default android tv interface instead mi skin decent set ports glad also includes mm headphone port many tv,Positive
9,installation service bad tv installated th day worst part technician knowledge tv functions tv mind blowing picture quality better love patchwall works really good run tv mobile dada,Neutral
10,one best decisions made lg user not sure mi x would live promises glad say beast picture quality crisp k videos play flawlessly android interface provides ease use new look patchwall refreshing loaded tons content netflix prime videos work flawlessly smart tv read negative comments connectivity far used feature works well bl,Positive
11,really love television quality tv super good k uhd sound awesome dolby atmos w speaker also support netflix patchwall google play youtube also chromecast built,Positive
12,good value money writing review days purchase picture quality picture quality k experience really good slight concern read customer reviews purchase feel bad recommend best one budget sound quality amazed hear output yes output clear crystal need sound bar supports different format flac one throws,Positive
13,using days giving review product mi everything excellent range love first led smart android tv love mi picture quality excellentaudio good,Positive
14,one week usage would say tv deal breaker good picture clarity sharpness sound good normal room think not enough ability add soundbar connectivity also good dual band wifi support could better sound could betterblacks picture could betterremote mute buttontakes long time start shut,Positive
15,worth buying tv watch k content see beautiful images delivery fast installation fast call service center directly quick installation sound give sound not good ok,Positive
16,forenoon day diwali renowned traditional hindu festival giant tv installed took almost hours half hour complete work right unboxing tv demonstrating functions wall mounting switching technician earlier day evening proposed buy moving stand monster possession mine also insisted buy stabilizer kit stand brought acted upon advice,Neutral
17,thanks flipkart nice nd new technology tv itvwas nice nd good value money basically wont prefer mi products bt one osum nd simply superb,Positive
18,hy intailal review days usage flipkart delivery awesome demo installation good jeeves mi tv best tv price segment picture sound quality good connectivity also good u think buy new tv u definitely go mi tv simply awesome,Positive
19,st smart tv much satisfied picture quality sound etc engineer visited day installation given demo brief phone casting not smooth lacks second multiple times tried installing jio tv not worked far except well overall good product range,Neutral
20,tv ips panel lg good viewing angle perfect buy huge tv budget good picture clearity best interface connectivity also good power cable ditachable lenght increased also port behind approch difficult mounting wall prefer table mount problem accessing ports,Positive
21,picture clarity good almost comparable leading brands like samsung sony sound quality poor keep volume high planning wall mounting hardly space reaching hdmi usb drive slot value money moment price one way unfair compare high end televisions,Neutral
22,fully satisfied product picture quality awesome connectivity quick nice sound good enough living room excellent product within price bracket kind features bit disappointed delivery timeline took days expected installation quick,Positive
23,picture quality good sound decent coming connectivity bluetooth connection weak headset keeps loosing signal sound headset distorts every tried changing headset issue remains distance tv bluetooth headset would around feet wifi poor times wifi looses connection vidoes keeps buffering even youtube mbps plan expect atleast youtube work goes,Neutral
24,nice product picture clarity super android functions beautiful installed perfectly demo given engineer easy understand,Positive
25,excellent product price range amazing connectivity wifi delivered earlier promised best part installation speed received product amazed installation team arrived hour pm watching favorite program ordering product gone reviews observed people faced difficulties installation support apprehension got lucky thanks ton flipkart yo,Positive
26,one valuble k led price range led tv superb color combination good sound mi trusted brand go ittt installation flipkart tooooooooo bad,Positive
27,awesome purchased weeks u r looking k resolution k best choice mind reviews like connectivity issues usage review not experienced connectivity problem works fine think go,Positive
28,give remote not mute button else advise mi product company stop flash sale impact sales might think create demand product might wrong people not patient opt brands even slightly higher price good product dispose consumers asap create big impact flash sale,Neutral
29,good picture quality sound also good like remote control functionality flipkart delivery installation really good delivered tv installation guys came within hours zee app not like mobile app time zee app automatically close,Positive
30,delivery late installation fast good demo product nice good sound good picture quantity picture quality amazing,Positive
31,week using tv far good value money sound good not excellent system update maximum volume level showing control volume dth box remote give feedback tv using days tv not come wall mount bracket pay additional charges installation person fixed wall mount bracket price rs jeeves installation average person comes giv,Neutral
32,ordered friday got product delivered sunday plus installation also done evening great ful experience picture quality superb mean u wont feel difference u run normal video go uhd k videos atleast full hd videos sound loud good didnt faced connectivity issues yet connected tv wifi netflix youtube smooth patch wall quite nice feature recommend tv thanks flipkart,Positive
33,not value money lots hangings problem wifi tv hanged one option switched tv buttons working remote sound quality like loudspeaker k rs wallmnt not low price product dear users please time product make review honesty simple colour led tv not smart tv cheap quality assemble parts called mi k tv,Neutral
34,value moneyat price tag rupees best value money k tv though paper certain tvs brands offer features less price comes practicality mi tv x outperforms initial impressions good hd channels set top box looks good not case sd channels quality remote better initial impressions try post review months usage,Positive
35,picture quality excellent price range sound loud clear bass not upto mark really value money product mi nicely improved tv comparetivly older ones,Positive
36,value money product excelent picture quality good picture upscaling capacity sound also good android works smoothly good connectivity data saving vivid picture engine features good,Positive
37,product good overall budget not see color bleed seems lg panel making quite impact model real eye candy watch k full hd good watch huge screen sound enough drawing room fact enough normal news serial watching want make home theater boat avante w killer deal surprised see k sound bar give run money costly siblings h,Positive
38,first best tv price range sound awesome dolby atmos perfect watching movies image quality good not bad much difference k ultra hd finally comes con connectivity could even better,Positive
39,used week till great experience good quality pic sound ok within price range one best item get update months,Positive
40,writing using months best price smart tv segment picture quality super better vu others nice safepacking easy installation soung good noise need connect extra speakers pictures sd set top box dont hd youtube viewing super mi patch wall awsome screen cast improved phone problem not tv problem,Positive
41,simple points noted smart tv google chromecast not properly working tv screen mirroring support going hanged try feature not working tv thing best tv want using google chromecast screen mirror not tv cost,Positive
42,delivery time lock period bhai maan gaye installation one day late okay quarantine issue installation nicely done thanks anandswami jadhav jeeves depends person person get installation services rs charges wall mount shown app flipkart shows rs inch tv inch onwards charge rs tv specifications connectivity brilliant app runs smoothly k videos r really superb,Positive
43,nice tv bright vivid colors deep blacks sound quality amazing integration google assistant makes really easy use supports netflix prime video support google play store must buy everyone,Positive
44,must buy product pros tv superb picture clarity brightness kg not much weight sound amazing w didnt feel like attach additional speakers completely covers x bed led bleed sometimes bleed inch occurs bottom left corner times dark screen makes fall love k videos run super smooth hd stb hd channels recommended buy upscaling capability algorithm great cons installation ser,Positive
45,good tv sound not like dolby atmos buy wall mounting online nothing suitable buy installation guys came house,Positive
46,never thought get inch tv good price samsung inch times price would not able make difference time not much althought recieve tv one day late forgiven budget rs go tv personally gurantee love,Neutral
47,mi led tv x pro good sound picture installation service jeeves flipkart poor tv delivered may installation done date may many calls customer care number use one week amazing performance cast mirroring many features go buy,Positive
48,ordered tv first sale since using best tv price tv good every aspect display quality superb build quality good connectivity amazing k gets easily loaded sound little low need keep volume level hear sound clear watching movie,Positive
49,really one amazing product bought life mind blowing features multiple connectivity like blutooth wifi hdmi etc easy operate face bad mi smart tv,Neutral
50,chromecast not working screen mirroring not working mi remote app not working tons connectivity issues feature good actually brought best connectivity experience tv totally failed buy iffalcon tv tcl best feature cheaper mi tv,Positive
51,overall viewing quality tv good connectivity third party apps smooth works however find lag watch sports channels find ghost like image balls football tennis ball pass advisable keep cleaning memory storable want optimal performance would liked picture control options,Positive
52,awesome tv good picture clarity affordable price connectivity fast sound wise happy form flipkart intime delivery installation,Positive
53,high expectations product due high media hype mi well users however picture quality using cable channels greatly disappointing called dolby dts sound output less effect horrible quality sound not match big screen tv instead woofer mi provided poor quality w speakers suitable voice music film not enjoyed inbuilt sp,Neutral
54,price remarkable product picture quality good watched k movies overall experience excellent improvement requires sound output overall good could bit better way panels getting thinner sure soon sound added later way descent output considering future panels months issues,Positive
55,value money k tv everything available smart tv price thousand available tv drawback chromecast connection little slow compared samsung smart connect used sony samsung tv earlier picture quality n sound best sony expensive samsung cheaper led panel got complaint yr much satisfied mi tv,Neutral
56,tv overall package really great however modem inbuilt wifi connection established not upto expectation results content buffered tv despite devices work well wifi connection show great speeds well thing not happy flipkart delivery slow unpredictable tv great plan big one lol,Positive
57,bought inch k panel android interface good fast picture quality amazing go inch model sure get tilt able wall mount happy purchase recommend boycotting chinese manufacturers,Positive
58,well made good looks picture good sound ok not bad plenty apps good wifi connectivity draw back need called service engineer come open package not warranty void waste time assistance install provided need not enforced everyone wall bracket brought technician inch tv says work inch,Positive
59,first experience mi whatta product overall mi x best world mid range lots love flipkart delivery time fast installation also good thank flipkart mi,Positive
60,everything best delivery installation done day delivery hours best thing happened installation guy good knowledge television con observed casting casting not good hope solved proper system update also casting working phone tv connected wifi not happened popular brands casting connectivity totally cuts star rat,Positive
61,budget deal say picture quality good not great rest connectivity accessibilities perfect one major drawback sound quality not clear less bass plan buy sound bar sure looking good quality sound,Positive
62,good picture clarity low valuable money cheap best product okay not bad overall good product,Positive
63,picture quality viewing angle excellentsound nice better speaker system big screenuser friendly osfast installationnb compare k tv brand sony lg fact k resolution colour reproduction not much better sony lgbut mi x best k android tv price range,Positive
64,mi x awesome picture qualities super super super sound qualities ok not problem connectivities ok moral value money e really excited super product nice like price super super,Positive
